,num,forpet_hash,shop_name,shop_address,address,num,review,score,match
1,3005,f18f26398481c8721cb19b2ac0e0ffd881b52f2cead8f14cc4478723e46489ae,퍼피해븐,"['천안시', '서북구', '두정동', '902']",충청남도 천안시 서북구 두정동 902,0,"꾸준한 곳.
이 가게만의 특색은 없음 무난함", 별표 4개 ,m
3,3005,f18f26398481c8721cb19b2ac0e0ffd881b52f2cead8f14cc4478723e46489ae,퍼피해븐,"['천안시', '서북구', '두정동', '902']",충청남도 천안시 서북구 두정동 902,1,강아지들이 활발함, 별표 5개 ,a
5,3005,f18f26398481c8721cb19b2ac0e0ffd881b52f2cead8f14cc4478723e46489ae,퍼피해븐,"['천안시', '서북구', '두정동', '902']",충청남도 천안시 서북구 두정동 902,2,좋아요, 별표 4개 ,t
7,3005,f18f26398481c8721cb19b2ac0e0ffd881b52f2cead8f14cc4478723e46489ae,퍼피해븐,"['천안시', '서북구', '두정동', '902']",충청남도 천안시 서북구 두정동 902,3,돈벌기 위한 그저 그런곳, 별표 1개 ,c
9,3005,f18f26398481c8721cb19b2ac0e0ffd881b52f2cead8f14cc4478723e46489ae,퍼피해븐,"['천안시', '서북구', '두정동', '902']",충청남도 천안시 서북구 두정동 902,4,멍멍이들도 많고 사장님도 간식 잘주시고 커피도 맛있네요, 별표 5개 ,h
11,3014,1933e2d6a9d67e53d8f9e4d79737a872190f7b676c7115840d5c787701204068,땡큐로드,"['양주시', '광적면', '석우리', '441-7']",광적면 석우리 441-7번지 1층 양주시 경기도 KR,0,"노키즈존 미취학 아이들은 못들어감
생각보다 좁음
강아지 키우는 집은 아이들도 있는데 못들어가니 아쉽다
가기전에 먼저 물어보고 가야함", 별표 2개 ,m
13,3005,f18f26398481c8721cb19b2ac0e0ffd881b52f2cead8f14cc4478723e46489ae,퍼피해븐,"['천안시', '서북구', '두정동', '902']",충청남도 천안시 서북구 두정동 902,6,, 별표 5개 ,a
15,3026,e33b7406f8733a21ad0d3ae156b54f4b661698de6ff98f069f394104980b504a,몽드드뚜뚜,"['포천시', '가산면', '가산리', '산', '22-1']",경기도 포천시 가산면 가산리 161-3,1,"소형견과 대형견이 구분되어 있어 좋았다.시설관리가 깨끗히 되어있고 곳곳에 강아지물과 그릇,물티슈가 비치되어있다.입장료 성인 7천원에 기본음료제공, 소형견 7천원으로 조금 비싼편,야외에는 모기가 좀 많은편,내부에 포토존이 있음", 별표 3개 ,a
17,3026,e33b7406f8733a21ad0d3ae156b54f4b661698de6ff98f069f394104980b504a,몽드드뚜뚜,"['포천시', '가산면', '가산리', '산', '22-1']",경기도 포천시 가산면 가산리 161-3,3,오늘 처음으로 가본 포천 몽드드뚜뚜 애견 까페~^ 깨끗 하구요 일단 대형견 소형견 으로 잔디밭도 나누어져 있어서 좋았어요 직원분들도 모두 친절 하세요 한가지 좀 불편한건 귀저기 착용은 울 아기들이 많이 불편해 해서 스트레스가 될까봐 걱정은 됐네요ㅠ그거말곤  시간되면 자주 와보고는 싶네요, 별표 4개 ,c
10,3008,a56a37eea768bf9e964f1afed3a602fcfde92537d7e16d254079c0c03f07eb06,작은벗,"['동두천시', '지행동', '721-4']",경기도 동두천시 지행동 721-4,1,0,0,match_all
12,3014,1933e2d6a9d67e53d8f9e4d79737a872190f7b676c7115840d5c787701204068,땡큐로드,"['양주시', '광적면', '석우리', '441-7']",광적면 석우리 441-7번지 1층 양주시 경기도 KR,1,, 별표 1개 ,a
14,3026,e33b7406f8733a21ad0d3ae156b54f4b661698de6ff98f069f394104980b504a,몽드드뚜뚜,"['포천시', '가산면', '가산리', '산', '22-1']",경기도 포천시 가산면 가산리 161-3,0,"대형견/소형견 영역이 나누어져 있음. 실내 카페, 인조잔디, 천연잔디 모두 다 있어서... 아이들 데리고 가서 놀기 좋음!
앞에 주차장도 넉넉한 편!!!", 별표 3개 ,m
16,3026,e33b7406f8733a21ad0d3ae156b54f4b661698de6ff98f069f394104980b504a,몽드드뚜뚜,"['포천시', '가산면', '가산리', '산', '22-1']",경기도 포천시 가산면 가산리 161-3,2,"대형,중형,소형견이 구분되어서 자유롭게 놀수 있어 넘 좋네요.
입장료는 인당 7,000과 강아지도 7,000원이네요.
아메리카노도 무료로 먹을수 있어요.
식사가 다양하지 않은게 좀 아쉽네요.", 별표 5개 ,t
18,3026,e33b7406f8733a21ad0d3ae156b54f4b661698de6ff98f069f394104980b504a,몽드드뚜뚜,"['포천시', '가산면', '가산리', '산', '22-1']",경기도 포천시 가산면 가산리 161-3,4,넓고 시설도 깨끗해서 마음에 드네요, 별표 4개 ,h
20,3026,e33b7406f8733a21ad0d3ae156b54f4b661698de6ff98f069f394104980b504a,몽드드뚜뚜,"['포천시', '가산면', '가산리', '산', '22-1']",경기도 포천시 가산면 가산리 161-3,5,강아지랑 같이 뛰어놀 수 있음, 별표 4개 ,_
22,3051,d1768201b00b9c9876c67edf7b6c69aeb4559692d5e04c708abb783b1460fb74,피터팻츠,"['고양시', '덕양구', '주교동', '1309']",경기도 고양시 덕양구 주교동 대주로 358-78,0,"상당히 큰 평수에 깔끔한 3 층 규모의 건물. 1층에서 주문하여 2,3층에서 식사랑 음료를 즐길  수 있다. 3층은 독립된 공간처럼 발코니엔 멍이들이 놀 수있게 되어 있고 테이블도 있어 견주들의 모임이나 친구들끼리와서 독립적 공간에서 파티? 를 할 수도 있게 되어있다. 
소형견 (9kg 미만)7,000원
중형견 (9kg 이상)9,000원
대형견 (20kg 이상)12,000원
사람입장료는 음료로 대신해야한다. 추가적으로 음식을…", 별표 4개 ,m
24,3051,d1768201b00b9c9876c67edf7b6c69aeb4559692d5e04c708abb783b1460fb74,피터팻츠,"['고양시', '덕양구', '주교동', '1309']",경기도 고양시 덕양구 주교동 대주로 358-78,2,주차장도 여유있고 초소형 소형 중대형견으로 나눠져 안심하고 강아지를.풀어놓을수있어요 음식도 맛나요 화장실도 창결하고 무엇보다도 직원분들이아주친절해요, 별표 5개 ,t
26,3026,e33b7406f8733a21ad0d3ae156b54f4b661698de6ff98f069f394104980b504a,몽드드뚜뚜,"['포천시', '가산면', '가산리', '산', '22-1']",경기도 포천시 가산면 가산리 161-3,8,포천에 있는 곳 치곤 생각보다 크지는 않았지만 매우 친절하시고 깨끗해서 좋았습니다~, 별표 4개 ,l
19,3029,b6241bcdd529656e78d392b0457aef25d39357b7cb02a80219cdcab3a5ec8324,굿초이스애견운동장,"['양주시', '백석읍', '기산리', '277-1']",백석읍 기산리 277-1번지 1층 양주시 경기도 KR,0,"(Google 번역) 네 큰 필드와 수영장.

(원본)
Yes big field and swimming pool.", 별표 3개 ,m
21,3046,d49abfb86df0866a6b80ba100fd853345f1a8069a9287bff21f8c6d3fcf3e06a,개간지애견카페,"['안산시', '단원구', '선부동', '1070-11']",단원구 선부동 1070-11번지 304호 동양빌딩 안산시 경기도 KR,0,강아지들 이랑 교감할수있는 좋은곳, 별표 5개 ,m
23,3051,d1768201b00b9c9876c67edf7b6c69aeb4559692d5e04c708abb783b1460fb74,피터팻츠,"['고양시', '덕양구', '주교동', '1309']",경기도 고양시 덕양구 주교동 대주로 358-78,1,강아지들 크기별로 구획 나닌 천연잔디 운동장 다만 습한날씨때문에 버섯출몰. 애들 눈여겨 보시고 먹지않게 하세요. 그리고 더운날에는 실내가 좋긴한데 크기차이없이 다 한곳에 있으니 사고날수도 있어요. 그리고 셀프목욕 냉방이 없다보니 견주 애들 씻기는동안 힘드네요. 수영장도 있긴 하지만 수심이 낮고 한군데뿐이라 다소 사람들 몰리면 대책없을듯합니다., 별표 5개 ,a
25,3051,d1768201b00b9c9876c67edf7b6c69aeb4559692d5e04c708abb783b1460fb74,피터팻츠,"['고양시', '덕양구', '주교동', '1309']",경기도 고양시 덕양구 주교동 대주로 358-78,3,"소형.초소형.대형견으로 나누어진 공원과
실내에서 쉴수있는 나눔공간으로 분리
견입장료 7천원 별도있는 곳

견주들은 음료이외 음식도 있어 
야외에서 시간 보내기 좋은곳이네요", 별표 5개 ,c
27,3051,d1768201b00b9c9876c67edf7b6c69aeb4559692d5e04c708abb783b1460fb74,피터팻츠,"['고양시', '덕양구', '주교동', '1309']",경기도 고양시 덕양구 주교동 대주로 358-78,4,"오픈한지 1년 됐다고 하던데 난 어제야 이곳을 알았네요~ㅠ 진작 알았으면 얼마나 좋았을까 ㅠㅠ
올 2020년 16살이 되는 우리 비스마르크(슈나)를 위해 잠시라도 친구들과 어울리며 깨끗하고 자연이 풍부한 곳에서 힐링될 수 있는 장소가 어디 있을까 하고 인터넷으로 폭풍검색해보다가 눈에 띄어 우연히 찾아가본 피터팻츠‥ 정말 대만족,대만족 했어요!!!!!

꼭 외국에 나온것같은 광활한 잔디 운동장, 깨끗하고 냄새없는 편안하고 안락한…", 별표 5개 ,h
29,3057,64ea7693655ca2f274a49e56874405295fe629c2efad4a179b8903321674d5c0,안녕아가,"['고양시', '일산동구', '백석동', '1330']",일산동구 백석동 1330번지 1층 131호 브라운스톤일산오피스텔 고양시 경기도 KR,0,강아지가 그렇게(!) 많은데도 냄새 하나도 안나고 깔끔합니다. 다만 강아지들이 생각보다 많고 또 손님들에게도 망설임없이 안기는 사회성 과한 분위기라 강아지가 어려운 분들은 천천히 입장하시는 편이 좋습니다. 강아지들 데리고 책 보고 싶어서 들른 카페였는데 강아지들이 워낙 많고 시끄러워서 책은 많이 못 읽고 나왔네요 ㅎㅎ 커피맛은 soso합니다 : ) 직원분들 모두 친절하시고 전반적인 분위기도 좋아요! 주차도 무료랍니다., 별표 5개 ,m
31,3051,d1768201b00b9c9876c67edf7b6c69aeb4559692d5e04c708abb783b1460fb74,피터팻츠,"['고양시', '덕양구', '주교동', '1309']",경기도 고양시 덕양구 주교동 대주로 358-78,6,"비싼데 커피는 맛없고... 그나마  직원분들 친절하시고 근방에 이만한 장소 없어서 자주이용중. 주차 편한것도 장점.
겨울엔 땅이 너무 질어서 불편함", 별표 3개 ,a
33,3061,9aac8ab6b03a256f86c1328c4cfec536717e629395187f58609b2c09f307dc16,페로페라,"['고양시', '일산동구', '식사동', '1545-2']",경기도 고양시 일산동구 식사동 1545-2,0,사장님이 애견사랑이 지극하시고 전직원분들이 친절하십니다. 청결 끝내주고 애견 관련 냄새가 하나도 안나고 쾌적하네요  대형견.  소형견. No애견존 3파트로 운영되어 편리해요.^^ 주차 편리, 별표 5개 ,m
35,3061,9aac8ab6b03a256f86c1328c4cfec536717e629395187f58609b2c09f307dc16,페로페라,"['고양시', '일산동구', '식사동', '1545-2']",경기도 고양시 일산동구 식사동 1545-2,2,아이들이 좋아하네요. 엄청 큰 개들이 많아요., 별표 4개 ,t
28,3052,af252378e335686dd9274571aa077c509615cfe8c6e505501aa841fbcb8ec0cb,우프우프,"['고양시', '덕양구', '화정동', '978']",경기도 고양시 덕양구 화정동,0,처음에 들어갔을 때 냄새가 좀 힐들었는데 금방 적응이 되었습니다. 개들이 15마리 있다고 들었는데 다들 온순하고 잘 따르고 건강해 보였어요. 청소도 잘 되어있고 공간이 넓어서 개들이 뛰어놀기에 좋을 것 같아요. 나올 때에는 손님용 손 세정제와 끈끈이가 있어서 편했는데 바깥 화장실에는 비누가 없어서 별 4개 드립니다., 별표 4개 ,m
30,3057,64ea7693655ca2f274a49e56874405295fe629c2efad4a179b8903321674d5c0,안녕아가,"['고양시', '일산동구', '백석동', '1330']",일산동구 백석동 1330번지 1층 131호 브라운스톤일산오피스텔 고양시 경기도 KR,1,별로였고 다시 가고 싶지 않습니다, 별표 1개 ,a
32,3057,64ea7693655ca2f274a49e56874405295fe629c2efad4a179b8903321674d5c0,안녕아가,"['고양시', '일산동구', '백석동', '1330']",일산동구 백석동 1330번지 1층 131호 브라운스톤일산오피스텔 고양시 경기도 KR,2,시설도 청결하고 저희강아지는 크기가 애매해서 소형견카페는 못가고 대형견카페에서는 못어울렸는데 여기선 다른 아이들이랑 잘어울려서 좋았어요., 별표 5개 ,t
