,num,forpet_hash,shop_name,shop_address,address,total_score,review_num,match
1,350,06e1137db3019de6ebe32ab5802baaac31502d2f432a9c576b1c56039c108892,멍박사,"['강서구', '화곡동', '957-1']",화곡동 957-1번지 지하동 1층 01호 근상프리즘 강서구 서울특별시 KR,0,0,x
2,357,9fd89c63a9e0afc83caecdaa440a63d583fe9ad296e8845fad7c36c9d10e8e8f,크로스엠,"['강서구', '등촌동', '638-3']",서울특별시 강서구 염창동 240-21,0,0,x
3,367,9111068c71ed4cd436f507061a630da7cd0cfe5070ca98d649767fb308b3fdea,유석동물병원동물병원,"['영등포구', '양평동3가', '90-1']",서울특별시 영등포구 신길6동 4824,4.4,20,x
4,367,9111068c71ed4cd436f507061a630da7cd0cfe5070ca98d649767fb308b3fdea,도림교회기독교교회,"['영등포구', '양평동3가', '90-1']",서울특별시 영등포구 도림동 205-24,4.4,34,x
5,379,a39e40b075e49e19fa81c9fceda8b342c7f4625bda72b22c13c06d709196b03e,사랑하고사랑할개,"['구로구', '궁동', '279-11']",서울특별시 구로구 궁동 279-11,0,0,x
6,385,6b85283a4c43c1aa6f48ec5e5f13ae849c70f46158f47b08dd9f9758023f0da2,코오롱아이넷,"['금천구', '가산동', '60-18']",서울특별시 금천구 가산동 533-2,0,0,x
7,387,2d186d56c0724af1e79cfa9ea063883ce0585cb763f3a9fb458d6135508f91d6,강사모백화점,"['부천시', '원종동', '339-9']",소사본동 230-18번지 부천시 경기도 KR,0,0,x
8,396,c62557dca3a666d9424ffba85515f11ac678399a5cbf6fd94c5a44cc7dd81a75,펫클럽애완동물용품점,"['관악구', '신림동', '1577-9']",서울특별시 관악구 신림동 남부순환로 1552,3.0,1,x
9,398,d2686d1d5749377d0f2b9d7cabd258ab478521aafc3d5e69b4e3bfb796101c28,도기랑냥이랑,"['금천구', '독산동', '1023-17']",독산동 1023-24번지 1층 금천구 서울특별시 KR,0,0,x
10,404,0fa188d48d6a3a2e20be4931f5abd18e1b5f28456eecd739d79b581b86480008,블라썸,"['금천구', '독산동', '1150']",독산동 333-19번지 102호 광명전기 금천구 서울특별시 KR,0,0,x
11,409,b4fd1eb5f74f69c070dc0c246bd2a04abc8c491798e0794ef31e23ea47ccda98,투니애견미용실애완동물미용사,"['관악구', '신림동', '1576-24']",서울특별시 관악구 신림동 봉천로 232,0,0,x
12,409,b4fd1eb5f74f69c070dc0c246bd2a04abc8c491798e0794ef31e23ea47ccda98,신림종합동물병원동물병원,"['관악구', '신림동', '1576-24']",서울특별시 관악구 신림동 신림로 157-1,5.0,1,x
13,409,b4fd1eb5f74f69c070dc0c246bd2a04abc8c491798e0794ef31e23ea47ccda98,도그넷애견미용실고양이미용실애완동물미용사,"['관악구', '신림동', '1576-24']",서울특별시 관악구 청룡동 1527-4,3.0,3,x
