,num,forpet_hash,shop_name,shop_address,address,num,review,score,match
1,1009,b8a962cebafb63418f351c08c918800f4b4221589b7473542e9c3e2223235fbb,펫굿즈,"['서구', '원당동', '820-9']",번지 B 동 KR 인천광역시 서구 원당동 820-9 미진연립 102호,1,0,0,match_all
2,1014,109841c1644cccb2745be58847077c4d8e5ef4fe551e970c6ede5b44b5469645,복슬강아지,"['서구', '오류동', '1656-1']",인천광역시 서구 오류동 1656-1번지 공존 615호,1,0,0,match_all
3,1015,81a9894afc8d64ea26a458dcc41d281dd7a61a9676d5a7fe21c9d56fdfd452dc,장보는강아지와고양이광주점,"['동구', '소태동', '585-11']",광주광역시 동구 소태동 585-11,1,0,0,match_all
4,1017,a6d155f6386349f1c718da650060675648720db5493442f0f66d4ef88b2f2101,충장로미쓰멍,"['동구', '호남동', '33-7']",광주광역시 동구 호남동 33-7번지 1층,1,0,0,match_all
5,1024,c9cbde7ac2f9557518fd6a659bf12442a7d6494514b01672f5ef5291d6ce3526,자미애견,"['북구', '두암동', '868-9']",광주광역시 북구 두암동 868-9,1,0,0,match_all
6,1032,8fa9fef8bbb136b0953e5e3c67fe48de011e22cb5f623bb148b67c3d890541cc,맥도그날드,"['서구', '풍암동', '1157-15']",풍암동 1157-15번지 서구 광주광역시 KR,1,0,0,match_all
7,1038,dc1d99b839fc04fd89036a44ae51fce39cd1b294cd8b63fb1da39d1cc89a0d94,새로운생각,"['서구', '쌍촌동', '1223-8']",광주광역시 서구 쌍촌동 1223-8,1,0,0,match_all
8,1043,591ccdffc031578544fa5294a91975323e3685cae3b72c50d160ed0218690642,펫바프,"['서구', '금호동', '829-8']",광주광역시 서구 금호동 829-8,1,0,0,match_all
9,1044,410f6875cfe6300170a74363478a66f20e05645669092f20cf38275d026a2f53,팡앤뭉치,"['서구', '풍암동', '976']",광주광역시 서구 풍암동 976번지,1,0,0,match_all
10,1045,10c9e70cb4ce17b5c5a235bb256f8e8eb3214f7e8388e5bc78f6a846f5c1e0d6,도도하개,"['서구', '치평동', '1320-5']",치평동 1320-5번지 3층 화신빌딩 서구 광주광역시 KR,1,0,0,match_all
11,1047,ca7ba5777e9a82aadbac552fdd7ac8a64a4a6c8c2d0352660cd49fbbbbc82e61,페트롤스테이션,"['서구', '마륵동', '152']",KR 광주광역시 서구 마륵동 152번지 하층 103호,1,0,0,match_all
12,1053,052561d0ad063616bb241ad269644b9ead7db5fdc1acde7f3a716d3dc8005cea,엘리스낵,"['북구', '일곡동', '912-7']",광주광역시 북구 일곡동 912-7번지 101호,1,0,0,match_all
13,1056,a872afcc676a0599cd3abc8acc7e05d5166dac06b1474c689f63e0f810cc5083,앙증맞개,"['광산구', '신창동', '1209-5']",신창동 1209-5번지 1층 광산구 광주광역시 KR,1,0,0,match_all
