,num,forpet_hash,shop_name,match
50,472,b4df3c436a2f0bd24c910ba36c16ffcb65cba47ae74bb9f024a472a70f7700cd,더마독,not info
51,476,99b8d52266813f06af645326d9c222408473f63acd67be46e61319312306865a,토토씨,not info
52,483,aaca14ac9871190999e4eef972e843066ac3d25801a0f797032d04dbc0cdfe90,도그샵,not info
53,485,8f6e6fb1a7012d7f91f41f3d81daa0c16abf00893ce34e2ade045759e440b339,강남펫스타일,not info
54,487,1df4194d92440f265f61d18d417688225d4eff23f091e8469d4f2be8ce1aca3b,클라이네독,not info
55,493,2c2916ce0759164368154801d17f350b8bb5e17d08ca23673073c83e18c82899,강남강아지,not info
56,493,2c2916ce0759164368154801d17f350b8bb5e17d08ca23673073c83e18c82899,강남강아지,not info
57,493,2c2916ce0759164368154801d17f350b8bb5e17d08ca23673073c83e18c82899,강남강아지,not info
58,493,2c2916ce0759164368154801d17f350b8bb5e17d08ca23673073c83e18c82899,강남강아지,not info
59,495,389518bb21dea33bdad83f6c33660b6c1a60b5816c930a9a84f3154a8c12956c,펫뜰리에,not info
60,496,a0079330d682df86cb9dfd3db95336363cd022198328391960632590ba489b5b,강아지대통령,not info
61,497,467f1832710e344eff37c09a97b827635bf606c98d52146f6bc51dbfd74786e3,지엔스독,not info
62,498,2f5927a2fa954137d16a8e7d99d1a6eb89cb1e3ef25fc32b51bd84f6e9db5b8f,수안펫하우스,not info
63,500,6a562ab5bbd8c3b8cb8e8e23bb6dc649afb2f31b611777db29934f7895448094,고양이대통령,not info
64,503,d40dfbf749b226f87b9ba3c3a342043ec43ba34ae3a0d31d6cb3c16a9a644154,압구정펫,not info
65,503,d40dfbf749b226f87b9ba3c3a342043ec43ba34ae3a0d31d6cb3c16a9a644154,압구정펫,not info
66,503,d40dfbf749b226f87b9ba3c3a342043ec43ba34ae3a0d31d6cb3c16a9a644154,압구정펫,not info
67,507,613ae3800eb3b826137678737c44052f8733e91dae3d308836d28402d0cef968,오마이도기,not info
68,513,4ce2f68bd3af8bdf8249c09f4ae5f1ef8fb905c424bf0d3a690a9c89f62bd12c,개냥밥,not info
69,514,e8d7f6ae3382a41378b6f3f8a5db1c0d6e4bc2b7ce14fbae65ef05d771e3ec4f,브라독스,not info
70,515,95f5458e2c08266ae193683af484489df5cea624c19d05fb92b893873053e4b6,애견용품할인마트,not info
71,515,95f5458e2c08266ae193683af484489df5cea624c19d05fb92b893873053e4b6,애견용품할인마트,not info
72,516,aa596c9f976133d908f50ac61ee965002db2271a2a004963bd238b6690053d74,도쿠몰,not info
73,517,ded002a3938f948361fed1cffac832d9635ae06850061a79e5bc54cc909879fe,멍멍키친야옹키친,not info
74,518,d1f978ede2f0a1a6fd4079b49a08b619c53c3b3362de394b9dd3f82e4e9cce1e,러브펫토탈애완용품샵,not info
75,521,994c8562c564cb94d8eda4a8510e947f3289b75da4db96a5eea6009a7487a51e,아르르,not info
76,522,53a557b4974779ad35357d330d3a3fc6f118dada95e08a478ac1d447299921af,프리센트,not info
77,523,3fff91196f78e2e30889bcd2c2e465e375da718e0dfd85c3900312562a3d84f7,국개대표,not info
78,526,ddad235eb71bec699ff1df42477793d62dca91f772f686fa8afb0131d734bc8c,제이씨커뮤니티,not info
79,528,3d86872cc4e0034aa761677d4d499a0b23bfb7c9fb28b7a2489bda5c9b9d0228,펫부티크갤러리아백화점웨스트점,not info
80,529,0d15e7650ff843d4325e693c9f469e8303a5898a421bbb4187edeaaea53180a3,펫앤미,not info
81,531,a64a607977b6e17bdd5dd8a52ace11b7ae0e19cf1c4a337ce7c1cd24fc433bb4,붐펫몰송파점,not info
82,532,5dbfeb6aac708ac8a47f1d3f60d35dd8828eef74394e813de9ada7bf6683fd34,큐티펫,not info
83,532,5dbfeb6aac708ac8a47f1d3f60d35dd8828eef74394e813de9ada7bf6683fd34,큐티펫,not info
84,534,3605eb91543f374be78891dfbf37ac9ee4e4a2f5fddb810a3434ae5e59d086c2,펫그라운드,not info
85,543,edc1bf3adf0b35f9ed0f43f80c634bb56b9d30f1c62037e216402d83cabe519c,장보는강아지와고양이,not info
86,543,edc1bf3adf0b35f9ed0f43f80c634bb56b9d30f1c62037e216402d83cabe519c,장보는강아지와고양이,not info
87,543,edc1bf3adf0b35f9ed0f43f80c634bb56b9d30f1c62037e216402d83cabe519c,장보는강아지와고양이,not info
88,543,edc1bf3adf0b35f9ed0f43f80c634bb56b9d30f1c62037e216402d83cabe519c,장보는강아지와고양이,not info
89,543,edc1bf3adf0b35f9ed0f43f80c634bb56b9d30f1c62037e216402d83cabe519c,장보는강아지와고양이,not info
90,543,edc1bf3adf0b35f9ed0f43f80c634bb56b9d30f1c62037e216402d83cabe519c,장보는강아지와고양이,not info
91,543,edc1bf3adf0b35f9ed0f43f80c634bb56b9d30f1c62037e216402d83cabe519c,장보는강아지와고양이,not info
92,543,edc1bf3adf0b35f9ed0f43f80c634bb56b9d30f1c62037e216402d83cabe519c,장보는강아지와고양이,not info
93,543,edc1bf3adf0b35f9ed0f43f80c634bb56b9d30f1c62037e216402d83cabe519c,장보는강아지와고양이,not info
94,543,edc1bf3adf0b35f9ed0f43f80c634bb56b9d30f1c62037e216402d83cabe519c,장보는강아지와고양이,not info
95,543,edc1bf3adf0b35f9ed0f43f80c634bb56b9d30f1c62037e216402d83cabe519c,장보는강아지와고양이,not info
96,543,edc1bf3adf0b35f9ed0f43f80c634bb56b9d30f1c62037e216402d83cabe519c,장보는강아지와고양이,not info
97,543,edc1bf3adf0b35f9ed0f43f80c634bb56b9d30f1c62037e216402d83cabe519c,장보는강아지와고양이,not info
98,543,edc1bf3adf0b35f9ed0f43f80c634bb56b9d30f1c62037e216402d83cabe519c,장보는강아지와고양이,not info
99,545,54f21ab0017d67a2b727a953718d3c322a8fe492399661fc73bf7b2245e1bb73,화이트애견용품할인마트2호점,not info
100,547,1b168f030dac05b2fb2cb7abdcd3a8c7f3b9323cfd51f929f6cc1e6f0c8be940,스윗비,not info
101,548,937cc2675c748b8fbd989e65fdaeb16b7b698161681e500291369a6d017afe43,와와애견용품할인매장,not info
102,551,e036f52d2af11715577e141c7f7dfe675ef1cd3d7e9711a59f30a37230b0f23a,라피아컴퍼니,not info
103,555,a97c802abaad3529c745a8d1abb2b8c375b1f523017dbab9b7902687e680b26e,콩이네펫,not info
104,556,940507a8a45f867fb8152ce8c2493fdddd0e786d3af2fae378bf3ec77730c8dc,누나스,not info
105,557,3557ca3b199aa3aff8da46934bf7cb3ce85a1f90d500725a04238020d3a3c19e,맥앤우피,not info
106,560,1f33b2d2b879761fde36b6149a10a13ee6e284596416e1f2240c0991cb44617c,퍼피야호,not info
107,567,c935b83479b9f72cea52bd9f90d83bdc741e9c56f6b708a7526cc570ef85a54d,냥이네,not info
108,568,6dde1b2cf8a40fb884e9a6c940be881119074546f9ad4575ebdef2c6a6adcf99,미밍코,not info
109,573,198f38e7b43b5e95c89934d6c13552b530188d737cccd5ecfaf25cc92b3e05cf,핫독본점,not info
110,576,4f58f70f726e9625b449332d95fab4d043a09fa1bfa973a1cedf2a746a7a585f,매리팻,not info
111,578,65cf0cc4b0c0f8d34810c96ceaf0fb1dea78cf3d42933673375c89af2651341c,캣독캣독,not info
112,582,84383b3dab70289dfc162dca21187e9b358cdbab36c3d7ff27b86eb99822b3e2,펫존사하점,not info
113,585,7a3cc7d75ebac3171d865e17fe1e80f1124208c36ec36fd2e77e520dec3b3ddc,쁘니&비키,not info
114,587,d02f381cec1739c04976f0db4b1921bd11afd2a10691b0fe1ab5f5a602ba3d82,애견왕국,not info
115,588,38ba3a57d71ddfcd62f89fabdf6e1426c48274ad0f2b3ccfe42f36c2be166fc5,대한사료강남,not info
116,589,0a9b16842b9561649a61c9279fda1329bdb2260deec220ca9e479ebaf97e2d9b,야옹멍멍,not info
117,589,0a9b16842b9561649a61c9279fda1329bdb2260deec220ca9e479ebaf97e2d9b,야옹멍멍,not info
118,589,0a9b16842b9561649a61c9279fda1329bdb2260deec220ca9e479ebaf97e2d9b,야옹멍멍,not info
119,589,0a9b16842b9561649a61c9279fda1329bdb2260deec220ca9e479ebaf97e2d9b,야옹멍멍,not info
120,589,0a9b16842b9561649a61c9279fda1329bdb2260deec220ca9e479ebaf97e2d9b,야옹멍멍,not info
121,589,0a9b16842b9561649a61c9279fda1329bdb2260deec220ca9e479ebaf97e2d9b,야옹멍멍,not info
122,589,0a9b16842b9561649a61c9279fda1329bdb2260deec220ca9e479ebaf97e2d9b,야옹멍멍,not info
123,590,2c11a40758049dcfbe49ac451cb542b399d648433468bf5eef690d122b28dbb1,애견24시,not info
124,591,9c77b08f068461d202ada5be9d61a6910a1f57dfc8e0511e9afd2493a9bc8add,젠틀리치,not info
125,594,e2ade767e898490c2211dfb435bee8a81c0a7de89f81e71d188205c368e7a737,베뭉스낵,not info
126,596,10c11de37767ac8c519f3b6fdd3cab1e2b586b364b77ecc433c78cffc2f87744,애경원드,not info
127,597,a5c7e51f715fb62531391e1023d5403ee7e89b0e0aa850ed4d83705788383598,유즈독,not info
128,601,cbadcc76614f79e4f788ffe1ad719f8a6c75b7c43d3206df54fd0f7e3ed957de,우다다몰,not info
129,603,ff139fb9ff80773dc878c2bfbe6dc5351e50270519400702d0041cf2da909e75,예쁜강아지,not info
130,606,1ff261ad7a3d4a46f579c90859cf8220b46d474ec272964ed3a6f93361f814e6,펫월드다대점,not info
131,609,05b1738226683202d8bc3e332cc999b593aee140bf1122c2ac7c59aac2c40417,디어반,not info
132,611,92549632271da9455d2ea83d1515fb47bcecb051220a3f29744dff90a9a1b579,엘리,not info
133,611,92549632271da9455d2ea83d1515fb47bcecb051220a3f29744dff90a9a1b579,엘리,not info
134,611,92549632271da9455d2ea83d1515fb47bcecb051220a3f29744dff90a9a1b579,엘리,not info
135,620,8d0c0afe11212793031cc0b0b890c50efb6bdf897c1e1b685c010e7ccef543f5,영웅도그,not info
136,621,b49d6d0b83d98908f419a0b56bdac942dbcc49130613615c263e89d6d6721e12,제니스펫몰,not info
137,623,7c6bfe57deed4b145f2b68a5832e44ce980564c173a8b72797fbddb4e9dc8213,이와이유통,not info
138,628,abebf7c424437b9a1e23d2d47860969122a8b11a445fd8a8219d521b793cf767,애견용품아울렛반려동물사료및용품,not info
139,630,34662c0b5f303010970720431cd5300ddc6c1eb0cc7dfa92f2423ffe9c99e9ef,장보는강아지와고양이부산남천점,not info
140,632,1c0ce13e18e31bf61999b53c624395a4e9bbcad30edd2d075d7f11e86f710af3,푸푸네수제간식,not info
141,633,50f8807ba152c10c6594e0e82b7d9f14ef8d8e2281e83addfa54b9177754135e,도그버디,not info
142,638,64a6563af6331db373456a14a121d823c029b6624128423f10a038893010065e,꼬미네점빵,not info
143,642,685bd394f10f59e7c1aa59e06feb5204f25f0cd47602102b7d5996737cd8db71,BOB애완용품전문점온천점,not info
144,644,2ed40dcaa7d8f06ad70d50e0f5c7640e55eef72aec3ba4bcb77d0bb87df4dad8,가람펫,not info
145,646,9f6cc2cb74b70a8810911549d6b6d2a704929ddbcc16846379143b122de221eb,까까나라,not info
146,649,1c71db37790a53f7dcbc7858f53852b4d51cce6f960735f78b089a83a8ed32dc,개와고양이,not info
147,650,bc0e5ba8f2cbd25387e89cc45052eedb885ff19a728525f4858b423cdacf7722,애견동화용팔이네,not info
148,650,bc0e5ba8f2cbd25387e89cc45052eedb885ff19a728525f4858b423cdacf7722,애견동화용팔이네,not info
149,650,bc0e5ba8f2cbd25387e89cc45052eedb885ff19a728525f4858b423cdacf7722,애견동화용팔이네,not info
150,654,5457af371a54dc33919cd8f2db712431f6f97edc0ac3551e0c442a8e61b792e5,DM,not info
151,655,495b5f9276f8edb8cb9ecb6f74dbd1c1dd8385715fb53c5f72eadfd5e39f4258,렙타일리아부산점,not info
152,657,b539e32b59580235a051e13dcc31b71bdea2df66d6663cf5f8b791e4f603d9c3,장전동강아지,not info
153,657,b539e32b59580235a051e13dcc31b71bdea2df66d6663cf5f8b791e4f603d9c3,장전동강아지,not info
154,660,8946578cfe2252968a3336abb1b021eafb8cf045891700342eb603c6f6068475,개이득,not info
155,662,9fe9d26fb36bd0f9c94c8ba896ed9ac9b50493216008984623769da618a84f1c,펫아울렛,not info
156,666,d00e08b6ef6ec625887bd382eb011a69a494ef981e0774e8037721634308da67,동아사료부산대리점,not info
157,678,dfb5004d373e866ad39be3727511c5174752d280f497b3fe19671df1bd06654c,핫독사상점,not info
158,680,2870d7c649da214b32f09068ea954691116cd549c174cfe045d66d6ad7734a37,웰피드,not info
159,684,c5fb5540898826f0fa57418c89fb6e9fcfdd3ad9cf2159d0ad26ec4e89d8e296,도그야,not info
160,686,2b3825ad064fcbfbc30e9b0266cfc92f8249e1876b9669f782b25cd219d9ed11,도그펜션,not info
161,697,e359cf9e01e921c168abd0eed3b8e5cf6e22f772a91446ae29b1774560729105,펫시랑,not info
162,698,a53bfe5e9ab5cbcbbe52a5e6f8ecb05ca0a043381ae7ad420e552841dc183463,마스아빠,not info
163,702,f218d123f09bc96050542114c2a09be3401e71b8e695c2121dd5038eae96c2e5,아마빌리스도그,not info
164,703,ef80dd552b5cc3322b4052dfaf4f292329d98ae77c4c1025765ae4e14aaac755,피엠큐,not info
165,707,7bf8ff19b00893a6e4ef0cf137749ffca51531d7305eba55a04f92aa7d7ef3c2,아지랑냥이,not info
166,713,7a464601b37355c50306e8ddfa964605c2b01e973d2890d1e250716cbbc7f5c6,대성PL,not info
167,718,f8a4720bcbc718a779eff65430d5b930c18271fe19c7e5eeb97bf62c3c1cda90,장보는강아지와고양이정관점정관점,not info
168,722,6077419b89d8e933b7e51d204647c63f931f82cd9bdc36f5c978181bcb4a3d5d,펫마트중구점,not info
169,724,9747abdf4596bfb8df527b683db32f5e9b2133cfb72bc99005878da32606187a,애견마을,not info
170,729,f51e75aea0f8f572f978114364fb47c392428584ac44a29c8e2bc759e3eadb2e,펫타임,not info
171,730,e57264596c1abf4f62e7287f3a22e1c77a25d0f7fb211f0c9d9617ccc25fe64d,멍매이수제간식,not info
172,737,943af0ec5a9e00b083563720d7cc669049c702b4c3405a16def5ef2efb8c2d44,도기몽애견용품,not info
173,742,699f840bc4838d0c01e26f5a3ab2585b23f6da980e4fcc027f42b5e9766dbe3e,하브,not info
174,744,998383d5989e2d6f718437988313fac496495724b9fff89245b27df5b35ff02e,도그도그,not info
175,744,998383d5989e2d6f718437988313fac496495724b9fff89245b27df5b35ff02e,도그도그,not info
176,744,998383d5989e2d6f718437988313fac496495724b9fff89245b27df5b35ff02e,도그도그,not info
