,num,forpet_hash,shop_name,shop_address,address,num,review,score,match
1,9,8e35f7a0a73e558271ae3dbec0ad40322ed25b73045eb6a24b511d0d08bb550c,펫마트홍은점애완동물용품점,"['서대문구', '홍제동', '279-27']",서울특별시 서대문구 홍은동 368-7,1,0,0,x
2,9,8e35f7a0a73e558271ae3dbec0ad40322ed25b73045eb6a24b511d0d08bb550c,산본팻애견용품할인마트애완동물용품점,"['서대문구', '홍제동', '279-27']",경기도 군포시 산본1동 79-69,0,살거 없음, 별표 2개 ,x
3,13,ad85ca27faea5e1533bdd8873a5a366d237ffd1311f510736f7d0145fa5d0c01,스프링펫애완동물용품점,"['서대문구', '영천동', '330']",서울특별시 마포구 서교동 양화로 189,1,0,0,x
4,26,ca6a1c73d2b17e07fbb985e022c6fe10fc719b3ee599a4ffa8d34ac8f6162929,강아지카페카페개네,"['성북구', '동소문동7가', '2-18']",동선동1가 2-6번지 3층 성북구 서울특별시 KR,0,"약 20마리정도의 다양한 견종의 강아지가 놀고 있음
처음 입장할땐 약간 락스냄새같은 향이 풍겨서 청소상태가 좋은 듯 느낌
강아지들의 교육은 잘 되어있어서 입질은 거의 없고 화장실도 90프로이상 지정된 장소근처에 와서 해결함
가게에서 주는 먹이주는 재미도 있고
사정상 강아지못기르는 초등학생들이 부모따라 많이 오는 듯
관리자가 2~3명 뿐이라 강아지들이 난리칠땐 통제안되는 순간도 가끔 있음", 별표 4개 ,x
5,27,414f0552856b33aad9654dea0de6457225238352e87016901f7caccacd4f9e50,윤신근애견종합백화점애완동물용품점,"['중구', '충무로4가', '90-1']",서울특별시 중구 충무로4가 95-1,0,나비가 너무 귀여워요, 별표 5개 ,x
6,27,414f0552856b33aad9654dea0de6457225238352e87016901f7caccacd4f9e50,윤신근애견종합병원동물병원,"['중구', '충무로4가', '90-1']",서울특별시 중구 필동2가 53,0,"가격 저렴. 뛰어난 실력. 주차 어려움. (근처 유료주차장 이용, 도보 5분거리)", 별표 4개 ,x
7,39,7ecdba38636ecc112cd82d4bd4fe3611b0b8cc5163ceaac62767c75fba593f7a,펫그라운드애견용품아울렛애완동물용품점,"['서대문구', '연희동', '142-5']",서울특별시 도봉구 창동 2층,0,사료나 간식이 좋은 것들 잘 가져다 놓으셨는데 가격도 착한거 같네여. 사실 전 서비스 잘주셔서 자꾸 간다는, 별표 5개 ,x
8,43,ffdc8b6382dab8ad78cf5a11189a0bd8d7af0e3aa57616eae8ded8deffb87cb0,펫포레스트,"['성북구', '보문동1가', '208']",경기도 광주시 오포읍 오포안로,0,2017년에 세워졋다고합니다. 시설이 깔끔하고 좋습니다. 그중 특히 직원분들이 친절하시고 반려동물에게도 특별한 예우를 해주십니다., 별표 5개 ,x
9,43,ffdc8b6382dab8ad78cf5a11189a0bd8d7af0e3aa57616eae8ded8deffb87cb0,와와펫,"['성북구', '보문동1가', '208']",서울특별시 성북구 정릉동 409-36,1,0,0,x
10,43,ffdc8b6382dab8ad78cf5a11189a0bd8d7af0e3aa57616eae8ded8deffb87cb0,와와펫애견용품점,"['성북구', '보문동1가', '208']",중곡동 166-11번지 광진구 서울특별시 KR,1,0,0,x
11,43,ffdc8b6382dab8ad78cf5a11189a0bd8d7af0e3aa57616eae8ded8deffb87cb0,와와펫,"['성북구', '보문동1가', '208']",서울특별시 성북구 석관동 248-24번지 1층,1,0,0,x
12,43,ffdc8b6382dab8ad78cf5a11189a0bd8d7af0e3aa57616eae8ded8deffb87cb0,좋은나라애견본부애완동물용품점,"['성북구', '보문동1가', '208']",서울특별시 성북구 장위동 173-119,1,0,0,x
13,43,ffdc8b6382dab8ad78cf5a11189a0bd8d7af0e3aa57616eae8ded8deffb87cb0,가람펫애견용품할인점애완동물용품점,"['성북구', '보문동1가', '208']",경기도 광주시 송정동 58-9,0,, 별표 5개 ,x
14,50,6a7d660a720930b1cb3db0c6b913e37ba65e3e9399986cee51a392a40a9675de,애완동물용품점,"['용산구', '이태원동', '4-4']",서울특별시 용산구 이태원동 4-4,0,인테리어가 예쁘고 옷 장난감 다 아기자기하고 예쁘지만 가격은 많이 비싸요ㅠ, 별표 4개 ,x
15,56,4d9da4515bcaf4e61c1bc76b2568f7520b01748d6b7247be927ad928ce1bbc5c,로얄애견백화점애완동물전문점,"['용산구', '원효로2가', '1-45']",서울특별시 관악구 신림동,1,0,0,x
16,68,3f15f979809bd4b277d81d6642a7da68a0d4ab606c8eb6b13ae247e262b0dd91,도그버디금호,"['성동구', '금호동3가', '303']",서울특별시 성동구 금호동3가 303,1,0,0,x
17,78,3b2a5739ad1787be76823c2489012bb71098139dea8d7c92756db4a7b0968726,프랑소와펫,"['용산구', '이촌동', '300-26']",번지 상가 21 동 KR 서울특별시 용산구 이촌동 300-23 한강맨숀아파트 104호,1,0,0,x
18,80,17835569037560b22880fe48339ff189f065569eb86bcabe3b4bf1cf8cb723ee,배럴즈의류점,"['강남구', '신사동', '520']",서울특별시 강남구 신사동 551-16,0,"(Google 번역) 세련된 셀렉트 숍.

(원본)
お洒落なセレクトショップ。", 별표 5개 ,x
19,82,8bee7bdf467a3c582a11fc56a2b3ee21a39c9e6c2b04832b09130ab111a299e5,어글어글동물보호서비스,"['강남구', '신사동', '565-13']",서울특별시 강남구 신사동 도산대로25길 38,1,0,0,x
20,96,43298edcb862f4a188f76f05957c8cfedc61d0df0cba8a661c3d2eddeb453b88,애견천국애완동물전문점,"['강남구', '논현동', '6-21']",서울특별시 강남구 논현동 6-21,1,0,0,x
