,num,forpet_hash,shop_name,shop_address,address,num,review,score,match
28,824,62bc4a8f0ed2de20dc1e53d07c56469828544242f52a781dc1d3a7f0687aad9a,펫마트테크노폴리스점,"['달성군', '현풍읍', '중리', '509']",대구광역시 달성군 현풍면 테크노대로 24,0,주인분 친절하심, 별표 5개 ,m
30,820,b181633b2d677ffca55c50709ba1f21a6b87b5070bb9ea22b6ec58e543744578,펫월드,"['달성군', '화원읍', '구라리', '1734-16']",대구광역시 북구 검단동 573,6,회원제. 회원가 2만원. 쇼핑만 하려해도 회원가입해야함. 수영장 놀이터 코딱지만함. 쇼핑공간 에어콘 안됐음. 입장강아지 청소하기 힘들다고 전부 기저귀 필수 착용함., 별표 2개 ,t
32,820,b181633b2d677ffca55c50709ba1f21a6b87b5070bb9ea22b6ec58e543744578,펫월드,"['달성군', '화원읍', '구라리', '1734-16']",대구광역시 북구 검단동 573,7,"입장하고싶으면 무조건 2만원내고 가입해야함. 물건이 얼마나 다양한지, 정말 인터넷최저가에 파는게 맞는지 확인도 못하는데 사던말던 입장하고싶음 대뜸 가입부터 하라니🤣 애견용품이 얼마나 다양하고 가격대도 천차만별인데, 그래봤자 한정적인 물건 대용량으로 갖다놓곤 연회비안내면 못들어간단거 자체가 이해안됨. 매장이 하나뿐이라 내기준 굳이 거리도 멀고, 퇴근후오기에는 맞지않는 영업시간의 매장에 가입할필요가 없어서 그냥 나오긴했는데…", 별표 1개 ,c
34,820,b181633b2d677ffca55c50709ba1f21a6b87b5070bb9ea22b6ec58e543744578,펫월드,"['달성군', '화원읍', '구라리', '1734-16']",대구광역시 북구 검단동 573,8,야외놀이터 넓고 좋아요ᆢ푸들 특성상 실내는 쇼파위 올라갔다 뛰어내려 실내에선 놀기 불편하더군요ᆢ얌전한 아이라면 좋을듯요, 별표 4개 ,h
27,821,b364e47ab86eb7fbcf4db2884b034d794858189515194d771da22a87932a7165,장보는강아지와고양이대구화원점,"['달성군', '화원읍', '명곡리', '244-4']",대구광역시 달성군 화원읍 명천로 214,1,0,0,match_dong
29,824,62bc4a8f0ed2de20dc1e53d07c56469828544242f52a781dc1d3a7f0687aad9a,펫마트테크노폴리스점,"['달성군', '현풍읍', '중리', '509']",대구광역시 달성군 현풍면 테크노대로 24,1,다양해서 좋았어요^^~, 별표 5개 ,a
31,824,62bc4a8f0ed2de20dc1e53d07c56469828544242f52a781dc1d3a7f0687aad9a,펫마트테크노폴리스점,"['달성군', '현풍읍', '중리', '509']",대구광역시 달성군 현풍면 테크노대로 24,2,강아지고양이용품도만아서좋아요, 별표 5개 ,t
33,824,62bc4a8f0ed2de20dc1e53d07c56469828544242f52a781dc1d3a7f0687aad9a,펫마트테크노폴리스점,"['달성군', '현풍읍', '중리', '509']",대구광역시 달성군 현풍면 테크노대로 24,3,다양한 물품이 있어서 좋아요, 별표 5개 ,c
35,828,30a216aabb7254c705f40277ffaaf041a03bf580b43b565031ff27a4dfa97342,펫38도씨,"['중구', '운남동', '22-4']",인천광역시 중구 운남동 운중로 99,0,작은 강아지들만 있었음. 소규모의 아기자기한 디자인. 친절한 직원분. 무엇보다도 냄새가 거의 안났고 털이 별로 날리지 않아서 좋았음. 만 3세 아이와 동반., 별표 5개 ,m
37,824,62bc4a8f0ed2de20dc1e53d07c56469828544242f52a781dc1d3a7f0687aad9a,펫마트테크노폴리스점,"['달성군', '현풍읍', '중리', '509']",대구광역시 달성군 현풍면 테크노대로 24,5,, 별표 1개 ,_
39,824,62bc4a8f0ed2de20dc1e53d07c56469828544242f52a781dc1d3a7f0687aad9a,펫마트테크노폴리스점,"['달성군', '현풍읍', '중리', '509']",대구광역시 달성군 현풍면 테크노대로 24,6,, 별표 2개 ,g
