,num,forpet_hash,shop_name,shop_address,address,num,review,score,match
1,3449,cd3d28817cf91feb60e9601e514ffd0361053284ce26c5bb58e6e31ef16e36b1,미어캣파크,"['종로구', '동숭동', '1-113']","1-113 6층, 동숭동 종로구 서울특별시",0,"동물들이 사납지않아서💕 좋았지만 한 사람에게만 가서 심심한 고객도 많은것 같았습니다~👀가서 미어켓을만지는것은 15세이상부터 들어갈수있지만 애완동물과(강아지,고양이)노는것은 누구니 들어갈수있습니다 미어켓은 활발해서 많이 뛰어놀지만 고양이는예쁘고 얌전하게 앉아있기만 하구요,강아지는 너무 사랑스럽게 품에 안깁니다🐶 하지만 털이빠져 옷이💥 더럽혀지는점은 깔끔한걸좋아하시는분은 않좋아하실 수도 있겠네요ㅜㅜ 중요한건 고양이!…", 별표 4개 ,m
3,3449,cd3d28817cf91feb60e9601e514ffd0361053284ce26c5bb58e6e31ef16e36b1,미어캣파크,"['종로구', '동숭동', '1-113']","1-113 6층, 동숭동 종로구 서울특별시",1,"멍멍이들은 삶에 찌들은 느낌이고 ㅠ
미어캣들은 상상했던 것보다 산만해요

재미있었어요. 추천!", 별표 4개 ,a
5,3449,cd3d28817cf91feb60e9601e514ffd0361053284ce26c5bb58e6e31ef16e36b1,미어캣파크,"['종로구', '동숭동', '1-113']","1-113 6층, 동숭동 종로구 서울특별시",2,너무 재미 있었어요 너구리도 빨리 병원에서 태원 했으면 좋겠네요., 별표 5개 ,t
7,3449,cd3d28817cf91feb60e9601e514ffd0361053284ce26c5bb58e6e31ef16e36b1,미어캣파크,"['종로구', '동숭동', '1-113']","1-113 6층, 동숭동 종로구 서울특별시",3,미어캣을 만질 수 있는 몇 안되는 장소, 별표 5개 ,c
9,3449,cd3d28817cf91feb60e9601e514ffd0361053284ce26c5bb58e6e31ef16e36b1,미어캣파크,"['종로구', '동숭동', '1-113']","1-113 6층, 동숭동 종로구 서울특별시",4,별점 하나도 아까울정도로 최악이에요. 이렇게 관리도 안되고 별로인 동물카페는 처음이네요. 돈이 아까워서 시간채우다가 도저히 안되겠어서 나왔어요. 다시는 오고싶지않고 가시는분들 뜯어 말리고싶을정도에요., 별표 1개 ,h
11,3449,cd3d28817cf91feb60e9601e514ffd0361053284ce26c5bb58e6e31ef16e36b1,미어캣파크,"['종로구', '동숭동', '1-113']","1-113 6층, 동숭동 종로구 서울특별시",5,동물 좋아하시면 천국을 맛볼 수 있습니다. 강아지 고양이 미어켓 라쿤 다 있음, 별표 5개 ,_
13,3449,cd3d28817cf91feb60e9601e514ffd0361053284ce26c5bb58e6e31ef16e36b1,미어캣파크,"['종로구', '동숭동', '1-113']","1-113 6층, 동숭동 종로구 서울특별시",6,강아지들도 고양이들도 미어캣들도 사랑스러워 죽겠음, 별표 5개 ,a
15,3449,cd3d28817cf91feb60e9601e514ffd0361053284ce26c5bb58e6e31ef16e36b1,미어캣파크,"['종로구', '동숭동', '1-113']","1-113 6층, 동숭동 종로구 서울특별시",7,생각보다 미어캣 체험 시간도 짧고 음료도 부실합니다, 별표 3개 ,l
17,3449,cd3d28817cf91feb60e9601e514ffd0361053284ce26c5bb58e6e31ef16e36b1,미어캣파크,"['종로구', '동숭동', '1-113']","1-113 6층, 동숭동 종로구 서울특별시",8,미어켓보는데 만원이다ㄷㄷ 미어캣 짱무섭ㅠ, 별표 3개 ,l
10,3458,c2b708f797c9e4c776a3b722d25028a064fdad662aea6e4d212629d1d80eec26,샹그리라,"['광진구', '화양동', '90-4']",서울특별시 광진구 화양동 90-4,0,"건강해 보이는 다양한 고양이가 있습니다.
매장관리는 잘되는듯보입니다~
한타임에 1인당 음료없이 1만원씩 입니다.
간장종지만한곳에 먹이주기는 3천원입니다.
비싸보이며 여러제약이 있습니다~
그러나 고양이들을 관찰하는것은 재미있습니다~
그냥 둘러보러온 커플은 30분도 있지못하고 나갑니다.", 별표 4개 ,m
12,3458,c2b708f797c9e4c776a3b722d25028a064fdad662aea6e4d212629d1d80eec26,샹그리라,"['광진구', '화양동', '90-4']",서울특별시 광진구 화양동 90-4,1,"고양이가 매우 귀여워요. 매장도깨끗하고 사장님이 친절하세요
간식은현금결제입니다 각3000원
간식 꼭사서 고양이들의관심으세요 간식이가꼭있어야함 ㅋㅋㅋ", 별표 4개 ,a
14,3458,c2b708f797c9e4c776a3b722d25028a064fdad662aea6e4d212629d1d80eec26,샹그리라,"['광진구', '화양동', '90-4']",서울특별시 광진구 화양동 90-4,2,애교많고 귀여운냥이들 가득. 사장님이 청소를 자주하셔서 털도 별로안날리고 깔끔함., 별표 5개 ,t
16,3458,c2b708f797c9e4c776a3b722d25028a064fdad662aea6e4d212629d1d80eec26,샹그리라,"['광진구', '화양동', '90-4']",서울특별시 광진구 화양동 90-4,3,사장님이 친절하세요! 실내가 깨끗하고 고양이들도 다정합니다., 별표 5개 ,c
18,3458,c2b708f797c9e4c776a3b722d25028a064fdad662aea6e4d212629d1d80eec26,샹그리라,"['광진구', '화양동', '90-4']",서울특별시 광진구 화양동 90-4,4,시설도 좋고 고양이도 긔엽다, 별표 5개 ,h
20,3458,c2b708f797c9e4c776a3b722d25028a064fdad662aea6e4d212629d1d80eec26,샹그리라,"['광진구', '화양동', '90-4']",서울특별시 광진구 화양동 90-4,5,고냥이 많아요 이쁘고 아이들이 좋아라 합니다 근데 먹이를 돈주고 사는데 너무 조금이라..가격이 3천원인데 조금 낮출필요가 있다고 보이네요, 별표 4개 ,_
22,3473,adc417cb9ba4a26c1339b9a50307d2954c28e257c71161eca2e6e16d0e00df08,하늘을걷는고양이카페,"['동작구', '사당동', '139-21']",서울특별시 동작구 사당동 139-21,1,고냥이들도 이뿌고 간식앞에 주인도 없고 좋네요^^, 별표 5개 ,a
24,3458,c2b708f797c9e4c776a3b722d25028a064fdad662aea6e4d212629d1d80eec26,샹그리라,"['광진구', '화양동', '90-4']",서울특별시 광진구 화양동 90-4,7,2시간제한이있지만 잘 놀다왔어요, 별표 4개 ,l
