,num,forpet_hash,shop_name,shop_address,address,num,review,score,match
1,778,8920232e817865534d31147282259a6a003e79974435fe9af4851706d8574107,대구펫수제간식,"['달서구', '두류동', '105-23']",두류동 105-23번지 달서구 대구광역시 KR,1,0,0,match_all
2,779,17409233e1d0a5acbb641c0f491fe3459f768f9f8f8ef0a45fa9c8cffbea9405,게코파크,"['달서구', '감삼동', '53-14']",감삼동 53-14번지 달서구 대구광역시 KR,0,사장님 수염 많음, 별표 5개 ,m
4,779,17409233e1d0a5acbb641c0f491fe3459f768f9f8f8ef0a45fa9c8cffbea9405,게코파크,"['달서구', '감삼동', '53-14']",감삼동 53-14번지 달서구 대구광역시 KR,1,귀 ㅡ 한 파충류가 엄청많응, 별표 5개 ,a
6,782,b771e29b9f152c7ac56a8722a770bcfadfceefbe6acc507d7c423cfbc8e9cd07,펫마트수성점,"['수성구', '황금동', '227-1']",대구광역시 수성구 황금동 227-1,0,"친절한 직원이 많은 것을 도와줍니다.
가격은 인터넷과 비교해도 적당하다고 생각합니다.", 별표 4개 ,m
8,779,17409233e1d0a5acbb641c0f491fe3459f768f9f8f8ef0a45fa9c8cffbea9405,게코파크,"['달서구', '감삼동', '53-14']",감삼동 53-14번지 달서구 대구광역시 KR,3,, 별표 5개 ,c
7,782,b771e29b9f152c7ac56a8722a770bcfadfceefbe6acc507d7c423cfbc8e9cd07,펫마트수성점,"['수성구', '황금동', '227-1']",대구광역시 수성구 황금동 227-1,1,샘플도 좋은거 주시고 친절하심, 별표 4개 ,a
9,782,b771e29b9f152c7ac56a8722a770bcfadfceefbe6acc507d7c423cfbc8e9cd07,펫마트수성점,"['수성구', '황금동', '227-1']",대구광역시 수성구 황금동 227-1,2,펫용품들이 다양하고 공간이 꽤 넓습니다. 주차하기도 나름 편하구요., 별표 5개 ,t
11,782,b771e29b9f152c7ac56a8722a770bcfadfceefbe6acc507d7c423cfbc8e9cd07,펫마트수성점,"['수성구', '황금동', '227-1']",대구광역시 수성구 황금동 227-1,3,개와 고양이 용품만 집중적으로 있음, 별표 3개 ,c
13,782,b771e29b9f152c7ac56a8722a770bcfadfceefbe6acc507d7c423cfbc8e9cd07,펫마트수성점,"['수성구', '황금동', '227-1']",대구광역시 수성구 황금동 227-1,4,넓은매장 다양한 아이템, 별표 4개 ,h
15,797,af58f98fbb195b11eb8b0893df940016679984ab25e9ebdf030710d34dcf027e,펫마트칠곡점,"['북구', '태전동', '149']",대구광역시 북구 태전동 149-3,0,넓찍하고 있을 거 다 있고 괜찮은듯, 별표 4개 ,m
17,782,b771e29b9f152c7ac56a8722a770bcfadfceefbe6acc507d7c423cfbc8e9cd07,펫마트수성점,"['수성구', '황금동', '227-1']",대구광역시 수성구 황금동 227-1,6,강아지 미용도 하는 거 같은데 거의 학대 수준임., 별표 1개 ,a
19,782,b771e29b9f152c7ac56a8722a770bcfadfceefbe6acc507d7c423cfbc8e9cd07,펫마트수성점,"['수성구', '황금동', '227-1']",대구광역시 수성구 황금동 227-1,7,친절한  써비스, 별표 4개 ,l
21,782,b771e29b9f152c7ac56a8722a770bcfadfceefbe6acc507d7c423cfbc8e9cd07,펫마트수성점,"['수성구', '황금동', '227-1']",대구광역시 수성구 황금동 227-1,8,서비스 짱!, 별표 5개 ,l
14,784,848412e38eadec6e0c56b522a41fde62484f90a9e58be1dfc401675930b57fbe,퍼피랜드,"['달서구', '성당동', '695-79']",대구광역시 달서구 성당동 695-79번지 1층,1,0,0,match_all
16,797,af58f98fbb195b11eb8b0893df940016679984ab25e9ebdf030710d34dcf027e,펫마트칠곡점,"['북구', '태전동', '149']",대구광역시 북구 태전동 149-3,1,깨끗한 환경에 미소짓는 친절한 직원의 서비스에 매우 만족한 곳입니다, 별표 5개 ,a
18,797,af58f98fbb195b11eb8b0893df940016679984ab25e9ebdf030710d34dcf027e,펫마트칠곡점,"['북구', '태전동', '149']",대구광역시 북구 태전동 149-3,2,"인터넷  가격으로 구매가능
세일 할때는 진짜 역대급 할인 가격
자주 가는곳  강추", 별표 5개 ,t
20,797,af58f98fbb195b11eb8b0893df940016679984ab25e9ebdf030710d34dcf027e,펫마트칠곡점,"['북구', '태전동', '149']",대구광역시 북구 태전동 149-3,3,싸고   좋아요., 별표 4개 ,c
22,797,af58f98fbb195b11eb8b0893df940016679984ab25e9ebdf030710d34dcf027e,펫마트칠곡점,"['북구', '태전동', '149']",대구광역시 북구 태전동 149-3,4,꽤적한   실내  넉넉한 주차공간., 별표 4개 ,h
24,928,dcd903bb414bc6496058ec5e05b1c48d843734082507d5e5e6ce4b03532e8a11,펫마트부평점,"['부평구', '부평동', '182-11']",인천광역시 부평구 부평동 182-11번지 1층 전체,0,"모두 친절하십니다!!
매장은 매우매우 넓고 다양한것들이 있어요
가격도 다른곳과 비교해봤을때 비싸다고 할만한것들이 찾아보기가 힘들을정도구요
그래서 그런지 저녁시간대에도 사람이 많이 오네요", 별표 5개 ,m
26,797,af58f98fbb195b11eb8b0893df940016679984ab25e9ebdf030710d34dcf027e,펫마트칠곡점,"['북구', '태전동', '149']",대구광역시 북구 태전동 149-3,6,"동물 용품은 다 있어요 ㅎㅎ
댕댕이 주인 분들이나
냥이 주인 분들 강추!!", 별표 5개 ,a
28,797,af58f98fbb195b11eb8b0893df940016679984ab25e9ebdf030710d34dcf027e,펫마트칠곡점,"['북구', '태전동', '149']",대구광역시 북구 태전동 149-3,7,나쁘지않음ㅋ, 별표 4개 ,l
30,797,af58f98fbb195b11eb8b0893df940016679984ab25e9ebdf030710d34dcf027e,펫마트칠곡점,"['북구', '태전동', '149']",대구광역시 북구 태전동 149-3,8,친절하시고 좋아요!!, 별표 5개 ,l
23,801,618160808672751cb4811670a4f4ef292b7daa37fb2572300d1f9ccee6f4d5f0,마론애견,"['수성구', '두산동', '132-6']",대구광역시 수성구 두산동 132-6,1,0,0,match_all
25,928,dcd903bb414bc6496058ec5e05b1c48d843734082507d5e5e6ce4b03532e8a11,펫마트부평점,"['부평구', '부평동', '182-11']",인천광역시 부평구 부평동 182-11번지 1층 전체,1,"엄청나게 큰 개껌을 볼 수 있었음
직원분들 친절하시고 매장 청결합니다.", 별표 5개 ,a
27,928,dcd903bb414bc6496058ec5e05b1c48d843734082507d5e5e6ce4b03532e8a11,펫마트부평점,"['부평구', '부평동', '182-11']",인천광역시 부평구 부평동 182-11번지 1층 전체,2,물건도 많고 가격도 저려저렴, 별표 5개 ,t
29,928,dcd903bb414bc6496058ec5e05b1c48d843734082507d5e5e6ce4b03532e8a11,펫마트부평점,"['부평구', '부평동', '182-11']",인천광역시 부평구 부평동 182-11번지 1층 전체,3,직원들 나이스!!ㅎ, 별표 5개 ,c
31,928,dcd903bb414bc6496058ec5e05b1c48d843734082507d5e5e6ce4b03532e8a11,펫마트부평점,"['부평구', '부평동', '182-11']",인천광역시 부평구 부평동 182-11번지 1층 전체,4,"사장님 너무 친절하시고 알바생도 짱이에요!!
저희강아지귀엽다고 선물도 주시는 센스😍감사합니다", 별표 5개 ,h
33,989,396e8639e4fa8aa484c96facc2938d0bcafe4e13793536569430a3e6a34e354a,갤러리펫,"['서구', '왕길동', '214-3']",인천광역시 서구 왕길동 214-3번지 1층,1,0,0,match_all
35,928,dcd903bb414bc6496058ec5e05b1c48d843734082507d5e5e6ce4b03532e8a11,펫마트부평점,"['부평구', '부평동', '182-11']",인천광역시 부평구 부평동 182-11번지 1층 전체,6,사장님이친절하셔서자주갑니다, 별표 4개 ,a
37,928,dcd903bb414bc6496058ec5e05b1c48d843734082507d5e5e6ce4b03532e8a11,펫마트부평점,"['부평구', '부평동', '182-11']",인천광역시 부평구 부평동 182-11번지 1층 전체,7,완전 좋아요, 별표 5개 ,l
39,928,dcd903bb414bc6496058ec5e05b1c48d843734082507d5e5e6ce4b03532e8a11,펫마트부평점,"['부평구', '부평동', '182-11']",인천광역시 부평구 부평동 182-11번지 1층 전체,8,좋아요, 별표 5개 ,l
32,929,61dcca144e7de5790faeb72947589e7558f5dd8e2574d6ac0505b62ccadafbde,멍냥이네,"['부평구', '부평동', '890-6']",인천광역시 부평구 부평동 890-6,1,0,0,match_all
