,num,forpet_hash,shop_name,shop_address,address,num,review,score,match
1,3001,0f6c4a612c70a75d2f85d535b1cdedfe893973d81780cfb30df47151a8b5a4ea,안성맞춤포시즌애견테마파크,"['안성시', '서운면', '신능리', '128-1']",경기도 안성시 서운면 바우덕이로 348-24 KR,1,0,0,match_dong
2,3002,7955e792b89a6a5dc302a7bbf1cbf337b475f39d7b369d8b0f43b6707cf04314,개느님,"['안성시', '가현동', '108-14']",경기도 안성시 가현동 108-5,0,잘되어있어요, 별표 4개 ,m
4,3006,29e54454cd7ba9356faf99beee3f7bba296fe2814ace0e72dce0d3952e2d143b,오도독,"['동두천시', '탑동동', '830-2']",경기도 동두천시 불현동 삼육사로 1324-25,0,"가격은조금 비싼느낌!
동네에있으면 매일 갱얼쥐데려가고싶을만큼 좋아요. 
시설도 고루 갖추고 구석구석 견주랑 아가들을위한 세심한배려가 느껴졌어요.", 별표 4개 ,m
5,3006,29e54454cd7ba9356faf99beee3f7bba296fe2814ace0e72dce0d3952e2d143b,오도독,"['동두천시', '탑동동', '830-2']",경기도 동두천시 불현동 삼육사로 1324-25,1,운동장도 있고...애견과 잠시 시간보내기 괜찮습니다., 별표 4개 ,a
7,3006,29e54454cd7ba9356faf99beee3f7bba296fe2814ace0e72dce0d3952e2d143b,오도독,"['동두천시', '탑동동', '830-2']",경기도 동두천시 불현동 삼육사로 1324-25,2,"단골애견카페가 된 이유.
깔끔한 내부.
애견들은 불편할지 몰라도 들어올때 기저귀를 다 해야하는 규칙이 있어 오줌냄새가 나지 않아 좋다.
잔디밭도 넓고 좋다.  곳곳에 배변처리할수 있는 비닐과 휴지가 비치되어있다.
작지만 수영장과 샤워장도 있다.

잔디밭이 제일 마음에 든다.

단점은 내부 바닥이 강아지들이 많이 미끄러운 바닥이라서 아쉽다.", 별표 4개 ,t
9,3006,29e54454cd7ba9356faf99beee3f7bba296fe2814ace0e72dce0d3952e2d143b,오도독,"['동두천시', '탑동동', '830-2']",경기도 동두천시 불현동 삼육사로 1324-25,3,사장님도 친절하시고 커피맛도 음식 맛도 그리고 울 아가도 정말 좋아하는 곳입니다 일주일에 한번씩은 찾게 되는 곳이지요~~, 별표 5개 ,c
11,3044,d8f1901bf05a6230443ca4ce8cee884bf5427669feb81fe993e7e6756dbe9eef,개판오분전,"['안산시', '단원구', '고잔동', '540-1']",서울특별시 관악구 신림동 관천로,0,"너무 이쁘고, 깔끔해요. 애견인분들도 멍멍이 응가 다 바로바로 치우시고!! 목줄도 하고 다니시고!! 낮보단 밤이 더 이뻐요!!", 별표 5개 ,n
13,3006,29e54454cd7ba9356faf99beee3f7bba296fe2814ace0e72dce0d3952e2d143b,오도독,"['동두천시', '탑동동', '830-2']",경기도 동두천시 불현동 삼육사로 1324-25,5,깔끔하고 좋아요, 별표 5개 ,_
15,3006,29e54454cd7ba9356faf99beee3f7bba296fe2814ace0e72dce0d3952e2d143b,오도독,"['동두천시', '탑동동', '830-2']",경기도 동두천시 불현동 삼육사로 1324-25,6,"분위기좋고 넓고 반려견 놀기엔 좋아요~
바베큐장도있고 수영장도있고 셀프목욕까지 가능해요~", 별표 5개 ,g
17,3006,29e54454cd7ba9356faf99beee3f7bba296fe2814ace0e72dce0d3952e2d143b,오도독,"['동두천시', '탑동동', '830-2']",경기도 동두천시 불현동 삼육사로 1324-25,7,"사장님 및 직원분들이 정말 친절합니다 관리도 잘되어 있구요
오늘 처음가봤는데 아주 대만족입니다 나중에 또 가야지!!", 별표 5개 ,u
12,3044,d8f1901bf05a6230443ca4ce8cee884bf5427669feb81fe993e7e6756dbe9eef,개판오분전,"['안산시', '단원구', '고잔동', '540-1']",서울특별시 관악구 신림동 관천로,1,이름에 개란 단어만 들어갔을뿐 전혀 개의대한 배려가 없다. 전에 있던 울타리(?)도 없어져서 개들의 안전에도 전혀 도움되지않는 그런 장소이다., 별표 1개 ,o
14,3044,d8f1901bf05a6230443ca4ce8cee884bf5427669feb81fe993e7e6756dbe9eef,개판오분전,"['안산시', '단원구', '고잔동', '540-1']",서울특별시 관악구 신림동 관천로,2,여기이름이 따로있는건 첨알았네요. 도림천 산책길, 별표 3개 ,t
16,3044,d8f1901bf05a6230443ca4ce8cee884bf5427669feb81fe993e7e6756dbe9eef,개판오분전,"['안산시', '단원구', '고잔동', '540-1']",서울특별시 관악구 신림동 관천로,3,"강아지들의 만남의 광장, 산책과 견주들의 소통이 활발했던 곳이었으나 어느 순간부터 허물어지고 더 이상 사람들이 찾지 않는 곳이 되었음", 별표 1개 ,_
18,3044,d8f1901bf05a6230443ca4ce8cee884bf5427669feb81fe993e7e6756dbe9eef,개판오분전,"['안산시', '단원구', '고잔동', '540-1']",서울특별시 관악구 신림동 관천로,4,"벽에, 바닥에 재미난 사진 찍기 좋은 배경 그림이 있음", 별표 4개 ,m
20,3080,771e84105d4565da7eea470503a1ff5ef9afda25d8b3cb5296ac3dae8a438f20,으르렁애견카페,"['파주시', '동패동', '1758-4']",경기도 파주시 동패동 1761-6 KR 으르렁 THE TERRACE 5층,0,깔끔한 애견카페. 근데 커피가 맛있는 애견카페는 없는걸까..., 별표 3개 ,m
22,3044,d8f1901bf05a6230443ca4ce8cee884bf5427669feb81fe993e7e6756dbe9eef,개판오분전,"['안산시', '단원구', '고잔동', '540-1']",서울특별시 관악구 신림동 관천로,6,이름이맘에안들어요.다른건좋아요, 별표 4개 ,t
24,3044,d8f1901bf05a6230443ca4ce8cee884bf5427669feb81fe993e7e6756dbe9eef,개판오분전,"['안산시', '단원구', '고잔동', '540-1']",서울특별시 관악구 신림동 관천로,7,흔적도없이 사라짐, 별표 1개 ,c
26,3044,d8f1901bf05a6230443ca4ce8cee884bf5427669feb81fe993e7e6756dbe9eef,개판오분전,"['안산시', '단원구', '고잔동', '540-1']",서울특별시 관악구 신림동 관천로,8,힐링하기 좋음, 별표 5개 ,h
19,3044,d8f1901bf05a6230443ca4ce8cee884bf5427669feb81fe993e7e6756dbe9eef,개판오분전,"['안산시', '단원구', '고잔동', '540-1']",중곡동 631-6번지 1층 광진구 서울특별시 KR,1,0,0,not_match
21,3080,771e84105d4565da7eea470503a1ff5ef9afda25d8b3cb5296ac3dae8a438f20,으르렁애견카페,"['파주시', '동패동', '1758-4']",경기도 파주시 동패동 1761-6 KR 으르렁 THE TERRACE 5층,1,일산 웨돔쪽에도 애견카페가 있는데 거기 직원인지 주인인지 모르겠지만 애기들을 막 대하고 폭력적인 말도 서슴치 않던데 여긴 강아지들이 많고 종도 다양하지만 다 자식처럼 예뻐하고 사랑하는게 눈에 보이더군요. 정말 좋았습니다 붕가붕가를 하는 애기들은 예방하기위해 기저귀를 차주고 실내 시설은 계속 청소해서 깔끔하고 실외는 애기들이 뛰어다닐 수 있도록 인공잔디와 장난감등 정말 잘 돼 있었습니다 카페인만큼 음료도 괜찮은 편이니 강아지를…, 별표 4개 ,a
23,3080,771e84105d4565da7eea470503a1ff5ef9afda25d8b3cb5296ac3dae8a438f20,으르렁애견카페,"['파주시', '동패동', '1758-4']",경기도 파주시 동패동 1761-6 KR 으르렁 THE TERRACE 5층,2,자주 놀러가요♡ 테라스가 있어서 다른 애견카페보다 강아지 냄새가 안나요. 상주견도 많이 있고 강아지들이 다 순해서 아이 데리고 자주 놀러가요. 글고 떡볶이가 짱 맛나요 진짜 떡볶이 맛집♡, 별표 5개 ,t
25,3080,771e84105d4565da7eea470503a1ff5ef9afda25d8b3cb5296ac3dae8a438f20,으르렁애견카페,"['파주시', '동패동', '1758-4']",경기도 파주시 동패동 1761-6 KR 으르렁 THE TERRACE 5층,3,"자주 아이들과 같이방문한 으르렁 애견카페~
항상친절히 맞아주시고  이번여행에 우리 꼬망이 잘케어 해주셔서 감사합니다 항상 응원합니다!!", 별표 5개 ,c
27,3080,771e84105d4565da7eea470503a1ff5ef9afda25d8b3cb5296ac3dae8a438f20,으르렁애견카페,"['파주시', '동패동', '1758-4']",경기도 파주시 동패동 1761-6 KR 으르렁 THE TERRACE 5층,4,아이들이너무좋아해요~~ 굿!, 별표 5개 ,h
29,3085,5948c3b0c64983d5e39b5fd673f897c201aa488a5326492ed56ada0fd1072b68,개가사는그집,"['파주시', '목동동', '939-4']",가평읍 복장리 253-4번지 2층 가평군 경기도 KR,0,매일 조식도 챙겨주시고  분위기나 강아지들이 놀수있는 환경도 꽤 좋았어요 비성수기떼 자주가고 싶더군요, 별표 4개 ,n
